# cell_number,T2_degC,LON,LAT
5.800000000000000000e+01,2.823194274902343750e+02,-1.548919677734375000e+01,2.794944381713867188e+01
5.900000000000000000e+01,2.825220642089843750e+02,-1.548690795898437500e+01,2.794942092895507812e+01
6.000000000000000000e+01,2.827094421386718750e+02,-1.548464965820312500e+01,2.794940948486328125e+01
6.100000000000000000e+01,2.828917541503906250e+02,-1.548236083984375000e+01,2.794937515258789062e+01
6.200000000000000000e+01,2.830646362304687500e+02,-1.548007202148437500e+01,2.794934844970703125e+01
6.300000000000000000e+01,2.832299804687500000e+02,-1.547778320312500000e+01,2.794931793212890625e+01
6.400000000000000000e+01,2.833873596191406250e+02,-1.547552490234375000e+01,2.794929885864257812e+01
6.500000000000000000e+01,2.835381774902343750e+02,-1.547323608398437500e+01,2.794927215576171875e+01
6.600000000000000000e+01,2.836831054687500000e+02,-1.547094726562500000e+01,2.794924545288085938e+01
6.700000000000000000e+01,2.838243713378906250e+02,-1.546868896484375000e+01,2.794921875000000000e+01
6.800000000000000000e+01,2.839711914062500000e+02,-1.546640014648437500e+01,2.794919586181640625e+01
6.900000000000000000e+01,2.841176147460937500e+02,-1.546411132812500000e+01,2.794916915893554688e+01
7.000000000000000000e+01,2.842587890625000000e+02,-1.546182250976562500e+01,2.794915008544921875e+01
7.100000000000000000e+01,2.843964233398437500e+02,-1.545956420898437500e+01,2.794911575317382812e+01
7.200000000000000000e+01,2.845289001464843750e+02,-1.545727539062500000e+01,2.794908142089843750e+01
7.300000000000000000e+01,2.846726074218750000e+02,-1.545498657226562500e+01,2.794905853271484375e+01
7.400000000000000000e+01,2.848205871582031250e+02,-1.545269775390625000e+01,2.794903182983398438e+01
7.500000000000000000e+01,2.849746093750000000e+02,-1.545043945312500000e+01,2.794900512695312500e+01
7.600000000000000000e+01,2.851308593750000000e+02,-1.544815063476562500e+01,2.794897842407226562e+01
7.700000000000000000e+01,2.852937011718750000e+02,-1.544586181640625000e+01,2.794895553588867188e+01
7.800000000000000000e+01,2.854624633789062500e+02,-1.544360351562500000e+01,2.794892883300781250e+01
7.900000000000000000e+01,2.856404724121093750e+02,-1.544131469726562500e+01,2.794890975952148438e+01
8.000000000000000000e+01,2.858234558105468750e+02,-1.543902587890625000e+01,2.794886779785156250e+01
8.100000000000000000e+01,2.860054626464843750e+02,-1.543673706054687500e+01,2.794885635375976562e+01
